"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"DS_MOTIVO_CASSACAO"
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"PI";"11533";"PARNAÍBA";"180001061846";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"SP";"62219";"BEBEDOURO";"250000890071";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"BA";"36773";"LAJE";"50001201378";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"BA";"34711";"CONDE";"50001003602";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"PA";"04278";"BELÉM";"140001260311";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"SP";"64351";"GARÇA";"250000820555";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"SE";"31950";"NOSSA SENHORA DO SOCORRO";"260000648644";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"PR";"77097";"MORRETES";"160000648067";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"TO";"94811";"NATIVIDADE";"270000883218";"Ausência de requisito de registro "
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"CE";"14435";"JARDIM";"60001176771";"Ficha limpa (LC 64/90)"
"19/09/2021";"07:23:11";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"PI";"10294";"BATALHA";"180001110907";"Ausência de requisito de registro "
